backbone,method,dataset,client_setting,client_average_acc
ResNet,fisher,Ultrasound,K=7,0.2513
ResNet,fisher,Ultrasound,Avg,0.2235
ResNet,breadcrumbs,Blood,K=3,0.0854
ResNet,breadcrumbs,Blood,K=5,0.1417
ResNet,breadcrumbs,Blood,K=7,0.1460
ResNet,breadcrumbs,Blood,Avg,0.1244
ResNet,breadcrumbs,Derma,K=3,0.0495
ResNet,breadcrumbs,Derma,K=5,0.2913
ResNet,breadcrumbs,Derma,K=7,0.1721
ResNet,breadcrumbs,Derma,Avg,0.1710
ResNet,breadcrumbs,Organ-C,K=3,0.0766
ResNet,breadcrumbs,Organ-C,K=5,0.0676
ResNet,breadcrumbs,Organ-C,K=7,0.0685
ResNet,breadcrumbs,Organ-C,Avg,0.0709
ResNet,breadcrumbs,Organ-S,K=3,0.0802
ResNet,breadcrumbs,Organ-S,K=5,0.0948
ResNet,breadcrumbs,Organ-S,K=7,0.0603
ResNet,breadcrumbs,Organ-S,Avg,0.0784
ResNet,breadcrumbs,Ultrasound,K=3,0.1225
ResNet,breadcrumbs,Ultrasound,K=5,0.1273
ResNet,breadcrumbs,Ultrasound,K=7,0.1021
ResNet,breadcrumbs,Ultrasound,Avg,0.1173
ResNet,model_stock,Blood,K=3,0.2420
ResNet,model_stock,Blood,K=5,0.1824
ResNet,model_stock,Blood,K=7,0.1975
ResNet,model_stock,Blood,Avg,0.2073
ResNet,model_stock,Derma,K=3,0.6216
ResNet,model_stock,Derma,K=5,0.4311
ResNet,model_stock,Derma,K=7,0.5721
ResNet,model_stock,Derma,Avg,0.5416
ResNet,model_stock,Organ-C,K=3,0.1225
ResNet,model_stock,Organ-C,K=5,0.1274
ResNet,model_stock,Organ-C,K=7,0.1185
ResNet,model_stock,Organ-C,Avg,0.1228
ResNet,model_stock,Organ-S,K=3,0.2742
ResNet,model_stock,Organ-S,K=5,0.1578
ResNet,model_stock,Organ-S,K=7,0.2012
ResNet,model_stock,Organ-S,Avg,0.2111
ResNet,model_stock,Ultrasound,K=3,0.1791
ResNet,model_stock,Ultrasound,K=5,0.1321
ResNet,model_stock,Ultrasound,K=7,0.1578
ResNet,model_stock,Ultrasound,Avg,0.1563
ResNet,from,Blood,K=3,0.2989
ResNet,from,Blood,K=5,0.2306
ResNet,from,Blood,K=7,0.2052
ResNet,from,Blood,Avg,0.2449
ResNet,from,Derma,K=3,0.6713
ResNet,from,Derma,K=5,0.4369
ResNet,from,Derma,K=7,0.6580
ResNet,from,Derma,Avg,0.5887
ResNet,from,Organ-C,K=3,0.2350
ResNet,from,Organ-C,K=5,0.1560
ResNet,from,Organ-C,K=7,0.1520
ResNet,from,Organ-C,Avg,0.1810
ResNet,from,Organ-S,K=3,0.2207
ResNet,from,Organ-S,K=5,0.2087
ResNet,from,Organ-S,K=7,0.2476
ResNet,from,Organ-S,Avg,0.2257
ResNet,from,Ultrasound,K=3,0.2309
ResNet,from,Ultrasound,K=5,0.1506
ResNet,from,Ultrasound,K=7,0.2063
ResNet,from,Ultrasound,Avg,0.1959
ResNet,iso_c,Blood,K=3,0.3278
ResNet,iso_c,Blood,K=5,0.2748
ResNet,iso_c,Blood,K=7,0.3023
ResNet,iso_c,Blood,Avg,0.3016
ResNet,iso_c,Derma,K=3,0.5049
ResNet,iso_c,Derma,K=5,0.4422
ResNet,iso_c,Derma,K=7,0.6416
ResNet,iso_c,Derma,Avg,0.5296
ResNet,iso_c,Organ-C,K=3,0.2331
ResNet,iso_c,Organ-C,K=5,0.1629
ResNet,iso_c,Organ-C,K=7,0.1383
ResNet,iso_c,Organ-C,Avg,0.1781
ResNet,iso_c,Organ-S,K=3,0.2736
ResNet,iso_c,Organ-S,K=5,0.2118
ResNet,iso_c,Organ-S,K=7,0.2453
ResNet,iso_c,Organ-S,Avg,0.2436
ResNet,iso_c,Ultrasound,K=3,0.2615
ResNet,iso_c,Ultrasound,K=5,0.1698
ResNet,iso_c,Ultrasound,K=7,0.1554
ResNet,iso_c,Ultrasound,Avg,0.1956
ResNet,free_merge,Blood,K=3,0.3345
ResNet,free_merge,Blood,K=5,0.2467
ResNet,free_merge,Blood,K=7,0.2822
ResNet,free_merge,Blood,Avg,0.2878
ResNet,free_merge,Derma,K=3,0.6291
ResNet,free_merge,Derma,K=5,0.4700
ResNet,free_merge,Derma,K=7,0.6246
ResNet,free_merge,Derma,Avg,0.5746
ResNet,free_merge,Organ-C,K=3,0.2261
ResNet,free_merge,Organ-C,K=5,0.1771
ResNet,free_merge,Organ-C,K=7,0.1396
ResNet,free_merge,Organ-C,Avg,0.1809
ResNet,free_merge,Organ-S,K=3,0.2863
ResNet,free_merge,Organ-S,K=5,0.1793
ResNet,free_merge,Organ-S,K=7,0.2475
ResNet,free_merge,Organ-S,Avg,0.2377
ResNet,free_merge,Ultrasound,K=3,0.2435
ResNet,free_merge,Ultrasound,K=5,0.1581
ResNet,free_merge,Ultrasound,K=7,0.1545
ResNet,free_merge,Ultrasound,Avg,0.1854
ResNet,robustmerge,Blood,K=3,0.3401
ResNet,robustmerge,Blood,K=5,0.2430
ResNet,robustmerge,Blood,K=7,0.2256
ResNet,robustmerge,Blood,Avg,0.2696
ResNet,robustmerge,Derma,K=3,0.2956
ResNet,robustmerge,Derma,K=5,0.2085
ResNet,robustmerge,Derma,K=7,0.3942
ResNet,robustmerge,Derma,Avg,0.2994
ResNet,robustmerge,Organ-C,K=3,0.2458
ResNet,robustmerge,Organ-C,K=5,0.1764
ResNet,robustmerge,Organ-C,K=7,0.1653
